Afghanistan,Kabul,Asia,AFG
Albania,Tirana,Europe,ALB
Algeria,Algiers,Africa,DZA
Andorra,Andorra la Vella,Europe,AND
Angola,Luanda,Africa,AGO
Antigua and Barbuda,Saint John's,North America,ATG
Argentina,Buenos Aires,South America,ARG
Armenia,Yerevan,Asia,ARM
Australia,Canberra,Oceania,AUS
Austria,Vienna,Europe,AUT
Azerbaijan,Baku,Asia,AZE
Bahamas,Nassau,North America,BHS
Bahrain,Manama,Asia,BHR
Bangladesh,Dhaka,Asia,BGD
Barbados,Bridgetown,North America,BRB
Belarus,Minsk,Europe,BLR
Belgium,Brussels,Europe,BEL
Belize,Belmopan,North America,BLZ
Benin,Porto-Novo,Africa,BEN
Bhutan,Thimphu,Asia,BTN
Bolivia,La Paz,South America,BOL
Bosnia and Herzegovina,Sarajevo,Europe,BIH
Botswana,Gaborone,Africa,BWA
Brazil,Brasilia,South America,BRA
Brunei,Bandar Seri Begawan,Asia,BRN
Bulgaria,Sofia,Europe,BGR
Burkina Faso,Ouagadougou,Africa,BFA
Burundi,Gitega,Africa,BDI
Cabo Verde,Praia,Africa,CPV
Cambodia,Phnom Penh,Asia,KHM
Cameroon,Yaounde,Africa,CMR
Canada,Ottawa,North America,CAN
Central African Republic,Bangui,Africa,CAF
Chad,N'Djamena,Africa,TCD
Chile,Santiago,South America,CHL
China,Beijing,Asia,CHN
Colombia,Bogota,South America,COL
Comoros,Moroni,Africa,COM
Republic of the Congo,Brazzaville,Africa,COG
Costa Rica,San Jose,North America,CRI
Cote d'Ivoire,Yamoussoukro,Africa,CIV
Croatia,Zagreb,Europe,HRV
Cuba,Havana,North America,CUB
Cyprus,Nicosia,Asia,CYP
Czechia,Prague,Europe,CZE
North Korea,Pyongyang,Asia,PRK
Democratic Republic of the Congo,Kinshasa,Africa,COD
Denmark,Copenhagen,Europe,DNK
Djibouti,Djibouti,Africa,DJI
Dominica,Roseau,North America,DMA
Dominican Republic,Santo Domingo,North America,DOM
Ecuador,Quito,South America,ECU
Egypt,Cairo,Africa,EGY
El Salvador,San Salvador,North America,SLV
Equatorial Guinea,Malabo,Africa,GNQ
Eritrea,Asmara,Africa,ERI
Estonia,Tallinn,Europe,EST
Eswatini,Lobamba,Africa,SWZ
Ethiopia,Addis Ababa,Africa,ETH
Fiji,Suva,Oceania,FJI
Finland,Helsinki,Europe,FIN
France,Paris,Europe,FRA
Gabon,Libreville,Africa,GAB
Gambia,Banjul,Africa,GMB
Georgia,Tbilisi,Asia,GEO
Germany,Berlin,Europe,DEU
Ghana,Accra,Africa,GHA
Greece,Athens,Europe,GRC
Grenada,Saint George's,North America,GRD
Guatemala,Guatemala City,North America,GTM
Guinea,Conakry,Africa,GIN
Guinea-Bissau,Bissau,Africa,GNB
Guyana,Georgetown,South America,GUY
Haiti,Port-au-Prince,North America,HTI
Vatican City,Vatican City,Europe,VAT
Honduras,Tegucigalpa,North America,HND
Hungary,Budapest,Europe,HUN
Iceland,Reykjavik,Europe,ISL
India,New Delhi,Asia,IND
Indonesia,Jakarta,Asia,IDN
Iran,Tehran,Asia,IRN
Iraq,Baghdad,Asia,IRQ
Ireland,Dublin,Europe,IRL
Israel,Jerusalem,Asia,ISR
Italy,Rome,Europe,ITA
Jamaica,Kingston,North America,JAM
Japan,Tokyo,Asia,JPN
Jordan,Amman,Asia,JOR
Kazakhstan,Nur-Sultan,Asia,KAZ
Kenya,Nairobi,Africa,KEN
Kiribati,Tarawa,Oceania,KIR
Kosovo,Pristina,Europe,XK
Kuwait,Kuwait City,Asia,KWT
Kyrgyzstan,Bishkek,Asia,KGZ
Laos,Vientiane,Asia,LAO
Latvia,Riga,Europe,LVA
Lebanon,Beirut,Asia,LBN
Lesotho,Maseru,Africa,LSO
Liberia,Monrovia,Africa,LBR
Libya,Tripoli,Africa,LBY
Liechtenstein,Vaduz,Europe,LIE
Lithuania,Vilnius,Europe,LTU
Luxembourg,Luxembourg,Europe,LUX
Madagascar,Antananarivo,Africa,MDG
Malawi,Lilongwe,Africa,MWI
Malaysia,Kuala Lumpur,Asia,MYS
Maldives,Male,Asia,MDV
Mali,Bamako,Africa,MLI
Malta,Valletta,Europe,MLT
Marshall Islands,Majuro,Oceania,MHL
Mauritania,Nouakchott,Africa,MRT
Mauritius,Port Louis,Africa,MUS
Mexico,Mexico City,North America,MEX
Micronesia,Palikir,Oceania,FSM
Monaco,Monaco,Europe,MCO
Mongolia,Ulaanbaatar,Asia,MNG
Montenegro,Podgorica,Europe,MNE
Morocco,Rabat,Africa,MAR
Mozambique,Maputo,Africa,MOZ
Myanmar,Naypyidaw,Asia,MMR
Namibia,Windhoek,Africa,NAM
Nauru,Yaren,Oceania,NRU
Nepal,Kathmandu,Asia,NPL
Netherlands,Amsterdam,Europe,NLD
New Zealand,Wellington,Oceania,NZL
Nicaragua,Managua,North America,NIC
Niger,Niamey,Africa,NER
Nigeria,Abuja,Africa,NGA
North Macedonia,Skopje,Europe,MKD
Norway,Oslo,Europe,NOR
Oman,Muscat,Asia,OMN
Pakistan,Islamabad,Asia,PAK
Palau,Ngerulmud,Oceania,PLW
Palestine,Jerusalem,Asia,PS
Panama,Panama City,North America,PAN
Papua New Guinea,Port Moresby,Oceania,PNG
Paraguay,Asuncion,South America,PRY
Peru,Lima,South America,PER
Philippines,Manila,Asia,PHL
Poland,Warsaw,Europe,POL
Portugal,Lisbon,Europe,PRT
Qatar,Doha,Asia,QAT
Republic of Korea,Seoul,Asia,KOR
Moldova,Chisinau,Europe,MDA
Romania,Bucharest,Europe,ROU
Russia,Moscow,Europe,RUS
Rwanda,Kigali,Africa,RWA
Saint Kitts and Nevis,Basseterre,North America,KNA
Saint Lucia,Castries,North America,LCA
Saint Vincent and the Grenadines,Kingstown,North America,VCT
Samoa,Apia,Oceania,WSM
San Marino,San Marino,Europe,SMR
Sao Tome and Principe,Sao Tome,Africa,STP
Saudi Arabia,Riyadh,Asia,SAU
Senegal,Dakar,Africa,SEN
Serbia,Belgrade,Europe,SRB
Seychelles,Victoria,Africa,SYC
Sierra Leone,Freetown,Africa,SLE
Singapore,Singapore,Asia,SGP
Slovakia,Bratislava,Europe,SVK
Slovenia,Ljubljana,Europe,SVN
Solomon Islands,Honiara,Oceania,SLB
Somalia,Mogadishu,Africa,SOM
South Africa,Pretoria,Africa,ZAF
South Sudan,Juba,Africa,SSD
Spain,Madrid,Europe,ESP
Sri Lanka,Sri Jayawardenepura Kotte,Asia,LKA
Sudan,Khartoum,Africa,SDN
Suriname,Paramaribo,South America,SUR
Sweden,Stockholm,Europe,SWE
Switzerland,Bern,Europe,CHE
Syria,Damascus,Asia,SYR
Taiwan,Taipei,Asia,TW
Tajikistan,Dushanbe,Asia,TJK
Thailand,Bangkok,Asia,THA
Timor-Leste,Dili,Asia,TLS
Togo,Lome,Africa,TGO
Tonga,Nuku'alofa,Oceania,TON
Trinidad and Tobago,Port of Spain,North America,TTO
Tunisia,Tunis,Africa,TUN
Turkey,Ankara,Asia,TUR
Turkmenistan,Ashgabat,Asia,TKM
Tuvalu,Funafuti,Oceania,TUV
Uganda,Kampala,Africa,UGA
Ukraine,Kyiv,Europe,UKR
United Arab Emirates,Abu Dhabi,Asia,ARE
United Kingdom,London,Europe,GBR
Tanzania,Dodoma,Africa,TZA
United States of America,"Washington, D.C.",North America,USA
Uruguay,Montevideo,South America,URY
Uzbekistan,Tashkent,Asia,UZB
Vanuatu,Port Vila,Oceania,VUT
Venezuela,Caracas,South America,VEN
Vietnam,Hanoi,Asia,VNM
Yemen,Sana'a,Asia,YEM
Zambia,Lusaka,Africa,ZMB
Zimbabwe,Harare,Africa,ZWE
